Date,Open,High,Low,Close,Volume
1-Jun-15,27.96,28.53,27.81,28.42,20206394
29-May-15,28.42,28.42,27.93,27.93,18451268
28-May-15,28.19,28.62,28.11,28.28,18667001
27-May-15,27.43,28.42,27.39,28.13,23441799
26-May-15,27.22,27.48,27.03,27.32,14966606
22-May-15,27.22,27.65,27.21,27.33,20360307
21-May-15,26.62,27.14,26.34,26.90,17258148
20-May-15,26.47,26.99,26.26,26.59,22866335
19-May-15,26.83,26.93,26.06,26.31,19527021
18-May-15,26.16,26.83,26.04,26.76,20150040
15-May-15,26.53,26.63,26.01,26.33,25864856
14-May-15,27.33,27.52,26.47,26.69,32201120
13-May-15,27.34,27.66,27.08,27.19,17530501
12-May-15,27.55,27.58,26.86,26.87,19518832
11-May-15,27.13,28.09,26.86,27.75,24591243
8-May-15,27.37,27.43,26.76,27.18,34955419
7-May-15,27.80,27.90,26.89,27.27,29689317
6-May-15,28.22,28.30,27.44,27.99,19770733
5-May-15,28.27,28.36,27.83,28.04,19347341
4-May-15,29.07,29.15,28.49,28.67,13909551
1-May-15,28.31,29.25,28.31,28.99,16701132
30-Apr-15,28.79,28.85,27.85,28.13,18988895
29-Apr-15,28.70,28.99,28.51,28.87,10964310
28-Apr-15,29.22,29.45,28.76,28.99,12372032
27-Apr-15,29.25,29.66,29.14,29.26,14871378
24-Apr-15,29.74,29.74,28.89,29.20,18764299
23-Apr-15,28.93,29.78,28.86,29.52,22039721
22-Apr-15,28.58,29.75,28.56,29.50,29662827
21-Apr-15,28.33,28.59,28.16,28.55,22172036
20-Apr-15,28.12,28.39,28.01,28.26,19901015
17-Apr-15,27.75,28.08,27.60,28.02,18157111
16-Apr-15,27.90,28.18,27.77,28.01,16393469
15-Apr-15,28.00,28.45,27.88,28.17,20138852
14-Apr-15,27.73,27.90,27.41,27.72,16671924
13-Apr-15,28.02,28.15,27.78,27.88,13636811
10-Apr-15,27.80,28.17,27.80,28.02,19698695
9-Apr-15,27.07,27.86,27.01,27.82,18660009
8-Apr-15,26.58,27.35,26.49,27.13,22105764
7-Apr-15,27.35,27.45,26.86,26.87,17820551
6-Apr-15,26.50,27.44,26.40,27.43,22460891
2-Apr-15,27.75,27.76,26.71,26.72,41390489
1-Apr-15,27.13,27.35,26.77,27.13,39424694
31-Mar-15,26.71,27.31,26.61,27.13,25292130
30-Mar-15,26.73,26.96,26.46,26.68,26142921
27-Mar-15,26.93,27.14,26.05,26.68,30908987
26-Mar-15,25.76,27.17,25.61,26.66,44702370
25-Mar-15,27.86,27.87,26.40,26.57,35874028
24-Mar-15,28.11,28.35,27.88,27.96,15670770
23-Mar-15,28.47,28.51,27.82,28.02,18699359
20-Mar-15,28.32,28.76,28.11,28.68,23608218
19-Mar-15,28.10,28.23,27.92,28.05,21656559
18-Mar-15,28.01,28.35,27.60,28.16,24544827
17-Mar-15,27.73,27.98,27.46,27.66,24932375
16-Mar-15,28.97,29.26,28.22,28.50,18183933
